dataset,accuracy,time_transform_training_seconds,time_transform_test_seconds,time_fit_classifier_seconds,time_predict_seconds
NonInvasiveFetalECGThorax2,0.953656,2.422427,2.228236,27.68749,0.273573
OSULeaf,0.880992,0.530584,0.223138,1.318036,0.034351
OliveOil,0.913333,0.504805,0.090883,0.316538,0.013854
PLAIDEq,0.916325,1.437746,1.415129,13.880139,0.105527
PhalangesOutlinesCorrect,0.847708,0.493778,0.129501,3.320456,0.075266
PhoneHeartbeatSound,0.665568,2.645158,1.150867,27.633037,0.080969
Phoneme,0.372205,0.565455,3.251057,8.623455,0.217188
PickupGestureWiimoteZEq,0.822,0.355258,0.098078,0.518259,0.015145
PigAirwayPressure,0.454487,0.593905,0.833405,9.552378,0.07475
PigArtPressure,0.882692,0.52397,0.814897,9.579242,0.08858
PigCVP,0.635897,1.447607,0.850459,9.590156,0.11338
Plane,0.999683,0.497144,0.080775,0.309059,0.015724
PowerCons,0.991111,0.415636,0.104175,0.341553,0.015856
ProximalPhalanxOutlineAgeGroup,0.851219,1.016434,0.075692,0.646481,0.01912
ProximalPhalanxOutlineCorrect,0.897824,0.536142,0.080564,0.920272,0.022608
ProximalPhalanxTW,0.817398,0.485003,0.070813,0.693424,0.020411
RefrigerationDevices,0.747733,0.4538,0.410169,4.263235,0.068093
Rock,0.805333,0.466929,0.347784,0.782812,0.020324
ScreenType,0.678933,0.615823,0.345196,4.530743,0.084822
SemgHandGenderCh2,0.956833,0.938828,1.74698,4.975803,0.096624
SemgHandMovementCh2,0.857481,2.329048,1.349898,11.976115,0.255288
SemgHandSubjectCh2,0.924222,1.384419,1.345382,11.236962,0.079268
ShakeGestureWiimoteZEq,0.855333,0.327011,0.101547,0.480597,0.015041
ShapeletSim,0.984074,0.487618,0.22119,0.227023,0.01698
ShapesAll,0.887944,0.596342,0.501412,10.369778,0.127991
SharePriceIncrease,0.690131,0.313803,0.124164,1.528999,0.056661
SmallKitchenAppliances,0.839467,1.26359,0.307233,3.169726,0.064581
SmoothSubspace,0.986889,0.47081,0.012518,0.267407,0.022258
SonyAIBORobotSurface1,0.901941,0.460799,0.109607,0.170624,0.025503
SonyAIBORobotSurface2,0.92396,0.58443,0.12503,0.173775,0.02727
StarLightCurves,0.980723,1.500188,11.311156,9.595272,0.330387
Strawberry,0.975405,1.359742,0.17559,1.383828,0.034291
SwedishLeaf,0.957653,0.833468,0.157145,1.282555,0.05598
Symbols,0.952797,0.581188,0.590259,0.276218,0.038045
SyntheticControl,0.993667,0.435506,0.069907,0.404676,0.020453
ToeSegmentation1,0.856579,0.550962,0.162759,0.255536,0.018102
ToeSegmentation2,0.881026,0.495423,0.137796,0.288385,0.016075
Tools,0.80796,1.705974,0.777817,14.633382,0.062721
Trace,1.0,0.593181,0.111214,0.333654,0.015004
TwoLeadECG,0.987152,0.577277,0.172596,0.156579,0.02782
TwoPatterns,0.999792,0.312937,0.65748,1.660123,0.167721
UMD,0.970371,0.46383,0.097613,0.217911,0.018707
UWaveGestureLibraryAll,0.968221,1.596628,4.776444,12.631784,0.257683
UWaveGestureLibraryX,0.852047,0.441199,1.430826,5.386708,0.255848
UWaveGestureLibraryY,0.778094,0.513957,1.424615,5.70778,0.223384
UWaveGestureLibraryZ,0.790629,0.429166,1.453369,5.629442,0.236189
Wafer,0.999768,0.702781,1.14687,0.781728,0.110287
Wine,0.885185,0.463347,0.079078,0.300824,0.014643
WordSynonyms,0.703553,0.48805,0.288679,2.4031,0.07677
Worms,0.750217,0.570616,0.186112,2.65763,0.039565
WormsTwoClass,0.808658,0.525807,0.186596,1.965752,0.051003
Yoga,0.895689,0.28846,1.796993,1.798734,0.156007
