dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Coffee,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Colposcopy,0.445545,0.405941,0.405941,0.415842,0.445545,0.405941,0.425743,0.425743,0.425743,0.445545,0.445545,0.415842,0.415842,0.425743,0.425743,0.435644,0.415842,0.415842,0.386139,0.415842,0.39604,0.405941,0.435644,0.415842,0.415842,0.415842,0.435644,0.376238,0.445545,0.405941
Computers,0.8,0.828,0.864,0.852,0.84,0.824,0.82,0.828,0.844,0.844,0.876,0.82,0.864,0.888,0.816,0.844,0.848,0.892,0.84,0.828,0.856,0.824,0.824,0.8,0.864,0.84,0.808,0.848,0.828,0.828
Covid3MonthDiscrete,1.0,0.814286,0.728571,0.857143,0.785714,0.8,0.842857,0.842857,0.814286,0.714286,0.771429,0.742857,0.771429,0.714286,0.8,0.8,0.785714,0.814286,0.8,0.8,0.771429,0.771429,0.771429,0.871429,0.857143,0.771429,0.842857,0.8,0.828571,0.871429
CricketX,0.758974,0.782051,0.748718,0.769231,0.730769,0.74359,0.774359,0.776923,0.766667,0.771795,0.784615,0.771795,0.797436,0.748718,0.741026,0.776923,0.774359,0.735897,0.75641,0.802564,0.746154,0.738462,0.771795,0.797436,0.782051,0.751282,0.769231,0.776923,0.784615,0.758974
CricketY,0.797436,0.769231,0.764103,0.776923,0.75641,0.805128,0.779487,0.794872,0.764103,0.764103,0.771795,0.784615,0.771795,0.764103,0.815385,0.769231,0.825641,0.805128,0.766667,0.774359,0.769231,0.758974,0.797436,0.797436,0.766667,0.802564,0.787179,0.774359,0.789744,0.766667
CricketZ,0.792308,0.779487,0.787179,0.789744,0.848718,0.8,0.797436,0.779487,0.794872,0.774359,0.789744,0.8,0.789744,0.802564,0.774359,0.764103,0.746154,0.8,0.75641,0.784615,0.789744,0.779487,0.774359,0.761538,0.779487,0.794872,0.812821,0.761538,0.735897,0.807692
Crop,0.777619,0.771726,0.77256,0.775595,0.776607,0.778452,0.77869,0.774524,0.775833,0.778036,0.774524,0.775298,0.775595,0.77625,0.772679,0.77631,0.773155,0.77506,0.771726,0.780476,0.772917,0.778929,0.774643,0.780655,0.776131,0.778333,0.777024,0.776964,0.777381,0.778452
DiatomSizeReduction,0.901961,0.947712,0.892157,0.823529,0.924837,0.96732,0.931373,0.921569,0.973856,0.918301,0.885621,0.931373,0.96732,0.872549,0.862745,0.885621,0.905229,0.931373,0.95098,0.895425,0.885621,0.892157,0.934641,0.944444,0.888889,0.977124,0.915033,0.970588,0.944444,0.937908
DistalPhalanxOutlineAgeGroup,0.76259,0.841727,0.81295,0.892086,0.791367,0.76259,0.841727,0.841727,0.776978,0.798561,0.805755,0.820144,0.834532,0.805755,0.841727,0.820144,0.827338,0.820144,0.827338,0.81295,0.769784,0.81295,0.827338,0.827338,0.798561,0.834532,0.798561,0.863309,0.856115,0.834532
