dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
MiddlePhalanxTW,0.603896,0.597403,0.603896,0.61039,0.577922,0.642857,0.603896,0.584416,0.551948,0.597403,0.590909,0.564935,0.636364,0.597403,0.61039,0.558442,0.584416,0.584416,0.551948,0.62987,0.61039,0.61039,0.545455,0.584416,0.603896,0.590909,0.590909,0.590909,0.616883,0.571429
MixedShapesRegularTrain,0.965361,0.968247,0.963299,0.969485,0.958763,0.963711,0.963299,0.967423,0.961237,0.957938,0.966598,0.959588,0.967423,0.969897,0.969897,0.969485,0.967835,0.969485,0.964948,0.963711,0.969072,0.961237,0.96866,0.961649,0.950928,0.959588,0.962474,0.972371,0.966186,0.97567
MixedShapesSmallTrain,0.928247,0.929485,0.927423,0.948041,0.92866,0.925361,0.936907,0.92866,0.943093,0.941031,0.936082,0.942268,0.947629,0.920825,0.89732,0.919175,0.92701,0.907629,0.920412,0.918763,0.939381,0.931134,0.933608,0.917113,0.888247,0.918763,0.941856,0.926186,0.948454,0.941856
MoteStrain,0.948083,0.896965,0.925719,0.881789,0.948882,0.875399,0.93131,0.919329,0.919329,0.945687,0.914537,0.948882,0.93131,0.925719,0.93131,0.9377,0.915335,0.915335,0.922524,0.940895,0.925719,0.873003,0.95607,0.928115,0.940895,0.916134,0.946486,0.928914,0.929712,0.908946
NonInvasiveFetalECGThorax1,0.932316,0.939949,0.93486,0.937913,0.935369,0.930789,0.943003,0.929771,0.937913,0.927226,0.936387,0.926718,0.933842,0.946056,0.938931,0.935878,0.928753,0.932824,0.934351,0.93486,0.933842,0.936387,0.935369,0.945038,0.929262,0.931298,0.937913,0.943511,0.93486,0.939949
NonInvasiveFetalECGThorax2,0.945038,0.957252,0.955725,0.956743,0.947583,0.951145,0.960305,0.954707,0.954198,0.947583,0.952672,0.948092,0.954198,0.962341,0.959288,0.951654,0.957252,0.951654,0.960305,0.946565,0.949618,0.955725,0.946056,0.959288,0.951145,0.955216,0.95369,0.94402,0.960814,0.959796
OSULeaf,0.876033,0.904959,0.871901,0.880165,0.871901,0.884298,0.884298,0.871901,0.847107,0.867769,0.876033,0.88843,0.867769,0.904959,0.896694,0.876033,0.884298,0.859504,0.880165,0.859504,0.896694,0.909091,0.85124,0.904959,0.863636,0.880165,0.921488,0.88843,0.884298,0.876033
OliveOil,0.9,0.933333,0.9,0.966667,0.866667,0.933333,0.9,0.9,0.933333,0.833333,0.866667,0.933333,0.866667,0.966667,0.966667,0.9,0.9,0.933333,0.933333,0.933333,0.933333,0.9,0.833333,0.9,0.933333,0.9,0.933333,0.866667,0.933333,1.0
PLAIDEq,0.947858,0.899441,0.932961,0.934823,0.891993,0.921788,0.908752,0.914339,0.910615,0.916201,0.886406,0.916201,0.905028,0.905028,0.927374,0.912477,0.925512,0.903166,0.912477,0.92365,0.90689,0.938547,0.932961,0.927374,0.916201,0.931099,0.921788,0.884544,0.893855,0.94041
PhalangesOutlinesCorrect,0.83683,0.844988,0.847319,0.848485,0.835664,0.856643,0.846154,0.844988,0.847319,0.870629,0.843823,0.83683,0.863636,0.854312,0.848485,0.855478,0.832168,0.842657,0.840326,0.843823,0.851981,0.837995,0.839161,0.853147,0.853147,0.855478,0.842657,0.851981,0.861305,0.843823
PhoneHeartbeatSound,0.681319,0.703297,0.653846,0.697802,0.67033,0.67033,0.686813,0.703297,0.697802,0.659341,0.642857,0.659341,0.686813,0.653846,0.67033,0.648352,0.648352,0.664835,0.648352,0.653846,0.659341,0.642857,0.664835,0.681319,0.664835,0.615385,0.67033,0.648352,0.686813,0.631868
Phoneme,0.383966,0.3423,0.344409,0.35654,0.373418,0.381857,0.376055,0.389768,0.370253,0.379219,0.35865,0.37289,0.351793,0.39346,0.368143,0.392932,0.397152,0.366561,0.387131,0.351793,0.371308,0.343882,0.359705,0.347574,0.386603,0.375,0.381857,0.395042,0.369726,0.397152
PickupGestureWiimoteZEq,0.82,0.76,0.8,0.76,0.88,0.86,0.8,0.84,0.84,0.76,0.78,0.8,0.82,0.9,0.76,0.84,0.84,0.86,0.84,0.8,0.82,0.92,0.8,0.82,0.8,0.78,0.8,0.86,0.84,0.86
PigAirwayPressure,0.442308,0.528846,0.4375,0.466346,0.480769,0.370192,0.466346,0.524038,0.495192,0.456731,0.432692,0.418269,0.475962,0.442308,0.451923,0.451923,0.399038,0.548077,0.490385,0.427885,0.413462,0.466346,0.442308,0.514423,0.418269,0.451923,0.442308,0.447115,0.442308,0.389423
PigArtPressure,0.956731,0.860577,0.855769,0.836538,0.860577,0.884615,0.860577,0.908654,0.889423,0.841346,0.855769,0.884615,0.932692,0.836538,0.846154,0.899038,0.884615,0.956731,0.889423,0.889423,0.884615,0.879808,0.860577,0.894231,0.884615,0.826923,0.903846,0.889423,0.942308,0.884615
PigCVP,0.716346,0.658654,0.610577,0.634615,0.629808,0.629808,0.615385,0.639423,0.673077,0.615385,0.625,0.625,0.629808,0.653846,0.629808,0.629808,0.653846,0.639423,0.663462,0.677885,0.668269,0.649038,0.586538,0.658654,0.600962,0.605769,0.586538,0.639423,0.634615,0.596154
Plane,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.990476,1.0,1.0,1.0,1.0,1.0,1.0
PowerCons,0.994444,0.983333,0.983333,0.994444,1.0,1.0,0.988889,0.994444,1.0,0.977778,0.966667,0.977778,0.988889,0.988889,1.0,1.0,1.0,0.983333,0.994444,1.0,0.994444,1.0,0.994444,0.983333,1.0,1.0,1.0,0.983333,0.988889,0.972222
ProximalPhalanxOutlineAgeGroup,0.84878,0.84878,0.804878,0.853659,0.84878,0.84878,0.878049,0.819512,0.829268,0.834146,0.887805,0.882927,0.882927,0.829268,0.873171,0.84878,0.868293,0.809756,0.863415,0.887805,0.863415,0.839024,0.84878,0.834146,0.873171,0.878049,0.804878,0.858537,0.82439,0.863415
ProximalPhalanxOutlineCorrect,0.90378,0.893471,0.890034,0.907216,0.886598,0.896907,0.859107,0.910653,0.914089,0.917526,0.90378,0.907216,0.886598,0.907216,0.896907,0.90378,0.890034,0.920962,0.90378,0.883162,0.90378,0.883162,0.896907,0.883162,0.900344,0.896907,0.900344,0.900344,0.893471,0.893471
ProximalPhalanxTW,0.814634,0.819512,0.804878,0.809756,0.8,0.829268,0.814634,0.809756,0.809756,0.814634,0.82439,0.809756,0.839024,0.834146,0.829268,0.82439,0.809756,0.804878,0.839024,0.82439,0.853659,0.804878,0.82439,0.814634,0.790244,0.809756,0.809756,0.829268,0.8,0.819512
RefrigerationDevices,0.549333,0.757333,0.773333,0.757333,0.717333,0.781333,0.776,0.741333,0.733333,0.765333,0.754667,0.754667,0.76,0.749333,0.725333,0.776,0.770667,0.752,0.730667,0.722667,0.757333,0.778667,0.770667,0.712,0.744,0.786667,0.749333,0.789333,0.749333,0.746667
Rock,0.68,0.8,0.82,0.72,0.86,0.9,0.88,0.88,0.76,0.8,0.7,0.72,0.82,0.74,0.74,0.78,0.72,0.8,0.84,0.88,0.74,0.88,0.8,0.86,0.92,0.9,0.84,0.92,0.72,0.74
ScreenType,0.546667,0.704,0.685333,0.738667,0.666667,0.693333,0.709333,0.672,0.674667,0.714667,0.672,0.688,0.701333,0.669333,0.688,0.690667,0.698667,0.666667,0.666667,0.656,0.674667,0.664,0.696,0.661333,0.696,0.698667,0.682667,0.672,0.664,0.656
SemgHandGenderCh2,0.946667,0.968333,0.958333,0.95,0.951667,0.968333,0.966667,0.958333,0.958333,0.975,0.956667,0.958333,0.951667,0.958333,0.971667,0.941667,0.946667,0.963333,0.935,0.946667,0.95,0.941667,0.948333,0.965,0.973333,0.965,0.961667,0.941667,0.966667,0.96
SemgHandMovementCh2,0.833333,0.871111,0.855556,0.877778,0.864444,0.846667,0.888889,0.875556,0.848889,0.88,0.857778,0.868889,0.857778,0.846667,0.824444,0.864444,0.873333,0.846667,0.851111,0.846667,0.84,0.851111,0.857778,0.862222,0.862222,0.844444,0.831111,0.862222,0.868889,0.864444
SemgHandSubjectCh2,0.882222,0.942222,0.944444,0.937778,0.913333,0.935556,0.893333,0.928889,0.944444,0.948889,0.935556,0.944444,0.9,0.904444,0.926667,0.935556,0.924444,0.924444,0.904444,0.944444,0.926667,0.895556,0.926667,0.94,0.928889,0.924444,0.928889,0.922222,0.9,0.917778
ShakeGestureWiimoteZEq,0.84,0.88,0.86,0.88,0.9,0.9,0.78,0.86,0.82,0.84,0.82,0.9,0.86,0.88,0.82,0.86,0.9,0.92,0.86,0.86,0.92,0.86,0.76,0.78,0.84,0.86,0.84,0.84,0.84,0.88
ShapeletSim,0.988889,0.994444,0.994444,0.966667,0.988889,0.955556,0.977778,0.994444,0.938889,0.994444,0.977778,0.977778,0.994444,0.994444,1.0,0.983333,0.983333,1.0,0.988889,0.994444,0.988889,0.988889,0.994444,0.988889,0.961111,1.0,0.988889,0.994444,0.944444,0.983333
ShapesAll,0.871667,0.868333,0.89,0.898333,0.901667,0.893333,0.86,0.885,0.89,0.888333,0.883333,0.891667,0.908333,0.885,0.885,0.903333,0.89,0.866667,0.9,0.87,0.903333,0.9,0.893333,0.87,0.886667,0.91,0.866667,0.896667,0.891667,0.89
SharePriceIncrease,0.6853,0.693582,0.689441,0.686335,0.686335,0.684265,0.6853,0.690476,0.689441,0.695652,0.6853,0.693582,0.688406,0.6853,0.686335,0.689441,0.677019,0.696687,0.700828,0.681159,0.691511,0.690476,0.701863,0.692547,0.696687,0.688406,0.696687,0.695652,0.686335,0.693582
SmallKitchenAppliances,0.850667,0.818667,0.826667,0.834667,0.845333,0.858667,0.850667,0.832,0.834667,0.845333,0.845333,0.866667,0.845333,0.834667,0.84,0.842667,0.832,0.84,0.832,0.802667,0.802667,0.861333,0.845333,0.845333,0.845333,0.842667,0.834667,0.856,0.837333,0.834667
SmoothSubspace,0.986667,0.973333,0.986667,0.986667,0.986667,0.986667,0.98,0.986667,0.986667,0.98,0.993333,1.0,0.98,0.993333,1.0,0.98,0.993333,0.98,0.973333,1.0,0.993333,0.993333,0.993333,0.953333,1.0,0.986667,0.98,0.993333,0.986667,0.993333
SonyAIBORobotSurface1,0.868552,0.90183,0.885191,0.798669,0.923461,0.881864,0.943428,0.891847,0.951747,0.925125,0.898502,0.898502,0.848586,0.890183,0.933444,0.906822,0.93178,0.93178,0.896839,0.800333,0.900166,0.925125,0.930116,0.936772,0.885191,0.926789,0.943428,0.948419,0.891847,0.861897
SonyAIBORobotSurface2,0.858342,0.933893,0.898216,0.947534,0.932844,0.95383,0.935992,0.889822,0.924449,0.942288,0.946485,0.945435,0.95383,0.919203,0.9234,0.950682,0.93809,0.913956,0.92235,0.932844,0.835257,0.940189,0.896118,0.909759,0.932844,0.904512,0.955929,0.946485,0.911857,0.92235
StarLightCurves,0.979966,0.978752,0.981059,0.981059,0.980452,0.97948,0.980573,0.98203,0.98203,0.982637,0.980816,0.980452,0.980695,0.981302,0.981787,0.979359,0.979966,0.979602,0.980209,0.98033,0.981787,0.98033,0.981302,0.981423,0.98118,0.980087,0.980816,0.980937,0.979723,0.981544
Strawberry,0.97027,0.978378,0.975676,0.978378,0.964865,0.972973,0.975676,0.951351,0.978378,0.972973,0.978378,0.962162,0.97027,0.978378,0.972973,0.991892,0.972973,0.97027,0.978378,0.991892,0.97027,0.972973,0.986486,0.994595,0.978378,0.962162,0.972973,0.972973,0.981081,0.983784
SwedishLeaf,0.9648,0.9488,0.9648,0.9552,0.9664,0.9536,0.952,0.9488,0.968,0.9584,0.9536,0.96,0.9616,0.9504,0.9584,0.968,0.9584,0.9536,0.952,0.96,0.9536,0.96,0.9664,0.9648,0.96,0.9584,0.9552,0.944,0.9568,0.9536
Symbols,0.98392,0.976884,0.939698,0.929648,0.948744,0.973869,0.938693,0.968844,0.959799,0.939698,0.973869,0.953769,0.936683,0.932663,0.952764,0.941709,0.933668,0.954774,0.973869,0.955779,0.910553,0.967839,0.973869,0.913568,0.960804,0.922613,0.962814,0.973869,0.944724,0.98392
SyntheticControl,0.996667,0.983333,0.99,1.0,0.996667,0.996667,0.99,0.996667,1.0,1.0,0.983333,0.996667,0.993333,0.993333,0.993333,0.99,0.993333,0.99,0.996667,1.0,0.996667,0.986667,0.993333,0.99,0.996667,0.996667,0.986667,0.993333,1.0,0.99
ToeSegmentation1,0.881579,0.890351,0.811404,0.811404,0.785088,0.864035,0.824561,0.868421,0.846491,0.815789,0.894737,0.833333,0.899123,0.846491,0.820175,0.828947,0.868421,0.903509,0.850877,0.881579,0.850877,0.828947,0.868421,0.890351,0.877193,0.872807,0.859649,0.899123,0.850877,0.872807
ToeSegmentation2,0.853846,0.853846,0.892308,0.861538,0.823077,0.884615,0.892308,0.869231,0.869231,0.915385,0.892308,0.830769,0.846154,0.923077,0.846154,0.9,0.9,0.9,0.923077,0.938462,0.915385,0.884615,0.846154,0.861538,0.869231,0.876923,0.9,0.907692,0.907692,0.846154
Tools,0.828358,0.783582,0.828358,0.820896,0.835821,0.768657,0.783582,0.828358,0.813433,0.820896,0.835821,0.761194,0.798507,0.850746,0.80597,0.828358,0.798507,0.761194,0.738806,0.783582,0.798507,0.835821,0.858209,0.80597,0.813433,0.80597,0.80597,0.813433,0.820896,0.80597
Trace,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TwoLeadECG,0.996488,0.996488,0.996488,0.946444,0.99122,0.992098,0.989464,0.989464,0.982441,0.997366,0.99561,0.984197,0.998244,0.993854,0.996488,0.996488,0.99122,0.997366,0.998244,0.960492,0.997366,0.998244,0.998244,0.989464,0.973661,0.990342,0.99561,0.984197,0.924495,0.972783
TwoPatterns,1.0,1.0,0.99975,0.99925,0.99975,0.99925,1.0,1.0,0.99975,1.0,0.9995,1.0,1.0,1.0,0.99925,1.0,0.99925,0.99975,0.99975,0.9995,0.99975,0.99975,1.0,1.0,0.99975,1.0,1.0,0.99975,1.0,1.0
UMD,0.986111,0.861111,0.993056,0.993056,0.993056,1.0,0.972222,0.979167,0.75,0.986111,0.993056,0.993056,0.902778,0.958333,0.986111,1.0,0.993056,0.986111,1.0,0.993056,0.993056,0.993056,0.993056,1.0,1.0,1.0,0.965278,0.993056,0.9375,0.916667
UWaveGestureLibraryAll,0.967895,0.960916,0.971245,0.964266,0.970408,0.969849,0.970966,0.965941,0.964545,0.971245,0.967058,0.970687,0.969291,0.964824,0.966499,0.960637,0.971524,0.971803,0.969012,0.968174,0.969849,0.962312,0.975991,0.965662,0.971803,0.971803,0.972083,0.966778,0.964824,0.968733
UWaveGestureLibraryX,0.842825,0.84785,0.853155,0.840034,0.856505,0.864042,0.847013,0.848967,0.84785,0.85818,0.864601,0.848409,0.851759,0.850363,0.850363,0.843104,0.848409,0.849246,0.857063,0.850921,0.853992,0.849805,0.853992,0.842546,0.86153,0.855109,0.85483,0.862647,0.857621,0.848688
UWaveGestureLibraryY,0.774428,0.773869,0.774428,0.757398,0.772753,0.794807,0.778057,0.774428,0.785595,0.784757,0.782803,0.781686,0.786153,0.762982,0.78057,0.775265,0.78364,0.782245,0.78029,0.772753,0.781407,0.773869,0.774986,0.776661,0.787828,0.771357,0.77694,0.773869,0.785874,0.781128
UWaveGestureLibraryZ,0.784199,0.782245,0.799832,0.782524,0.796203,0.792853,0.800949,0.796762,0.791178,0.786153,0.792016,0.789782,0.79732,0.77359,0.788945,0.802624,0.798437,0.786153,0.798437,0.778615,0.791736,0.788107,0.78392,0.797599,0.787549,0.774707,0.786711,0.792574,0.798716,0.798437
Wafer,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999189,1.0,1.0,0.999676,0.999838,1.0,0.999027,0.999351,0.999351,1.0,1.0,0.999513,0.999189,1.0,1.0,1.0,1.0,1.0,0.99854,0.999351,1.0
Wine,0.703704,0.87037,0.851852,0.888889,0.833333,0.925926,0.888889,0.962963,0.87037,0.851852,0.981481,0.925926,0.777778,0.981481,0.944444,0.925926,0.962963,0.888889,0.87037,0.833333,0.925926,0.796296,0.925926,0.888889,1.0,0.981481,1.0,0.777778,0.814815,0.703704
WordSynonyms,0.697492,0.697492,0.706897,0.688088,0.722571,0.710031,0.680251,0.684953,0.705329,0.705329,0.688088,0.689655,0.72884,0.684953,0.691223,0.69906,0.702194,0.717868,0.72884,0.702194,0.727273,0.727273,0.697492,0.68652,0.705329,0.702194,0.681818,0.724138,0.708464,0.714734
Worms,0.766234,0.727273,0.675325,0.818182,0.74026,0.779221,0.74026,0.844156,0.714286,0.714286,0.727273,0.714286,0.701299,0.831169,0.779221,0.779221,0.727273,0.753247,0.779221,0.753247,0.779221,0.753247,0.701299,0.792208,0.701299,0.714286,0.74026,0.61039,0.857143,0.792208
WormsTwoClass,0.805195,0.87013,0.844156,0.818182,0.831169,0.766234,0.714286,0.857143,0.779221,0.792208,0.831169,0.779221,0.779221,0.792208,0.844156,0.779221,0.831169,0.766234,0.883117,0.844156,0.779221,0.779221,0.805195,0.831169,0.831169,0.831169,0.818182,0.727273,0.844156,0.805195
Yoga,0.885,0.885333,0.899,0.906333,0.895333,0.902,0.897333,0.909667,0.901,0.903667,0.884667,0.876,0.88,0.887333,0.881,0.878667,0.907333,0.915,0.899,0.887667,0.899333,0.888333,0.882333,0.897333,0.910667,0.893667,0.907333,0.908667,0.910333,0.891333
